O_cluster,O_lat,O_lon,D_cluster,D_lat,D_lon,match_cnt
0,30.638542462005148,104.12780328330678,0,30.59862289862249,104.07358492815342,448
0,30.638542462005148,104.12780328330678,1,30.69672440764477,104.09092563610503,2687
0,30.638542462005148,104.12780328330678,2,30.65922788525725,104.00638077512882,442
0,30.638542462005148,104.12780328330678,3,30.660605693305357,104.0649469583959,4381
0,30.638542462005148,104.12780328330678,4,30.704196981485385,104.04116047586425,1129
0,30.638542462005148,104.12780328330678,5,30.652547765405096,104.1546348506086,1222
0,30.638542462005148,104.12780328330678,6,30.754426746223565,103.942287586858,153
0,30.638542462005148,104.12780328330678,7,30.77402473382942,104.09530231668575,354
0,30.638542462005148,104.12780328330678,8,30.578385025598948,103.96211019428947,69
0,30.638542462005148,104.12780328330678,9,30.659247217484204,104.10418117166753,5466
1,30.7126150269131,103.97671952739948,0,30.59862289862249,104.07358492815342,56
1,30.7126150269131,103.97671952739948,1,30.69672440764477,104.09092563610503,1170
1,30.7126150269131,103.97671952739948,2,30.65922788525725,104.00638077512882,36
1,30.7126150269131,103.97671952739948,3,30.660605693305357,104.0649469583959,2163
1,30.7126150269131,103.97671952739948,4,30.704196981485385,104.04116047586425,1593
1,30.7126150269131,103.97671952739948,5,30.652547765405096,104.1546348506086,209
1,30.7126150269131,103.97671952739948,6,30.754426746223565,103.942287586858,14
1,30.7126150269131,103.97671952739948,7,30.77402473382942,104.09530231668575,332
1,30.7126150269131,103.97671952739948,8,30.578385025598948,103.96211019428947,3
1,30.7126150269131,103.97671952739948,9,30.659247217484204,104.10418117166753,618
2,30.65960326819109,104.0739047768731,0,30.59862289862249,104.07358492815342,5630
2,30.65960326819109,104.0739047768731,1,30.69672440764477,104.09092563610503,5805
2,30.65960326819109,104.0739047768731,2,30.65922788525725,104.00638077512882,5989
2,30.65960326819109,104.0739047768731,3,30.660605693305357,104.0649469583959,18025
2,30.65960326819109,104.0739047768731,4,30.704196981485385,104.04116047586425,5960
2,30.65960326819109,104.0739047768731,5,30.652547765405096,104.1546348506086,3191
2,30.65960326819109,104.0739047768731,6,30.754426746223565,103.942287586858,912
2,30.65960326819109,104.0739047768731,7,30.77402473382942,104.09530231668575,1140
2,30.65960326819109,104.0739047768731,8,30.578385025598948,103.96211019428947,1445
2,30.65960326819109,104.0739047768731,9,30.659247217484204,104.10418117166753,10216
3,30.588528919608528,103.96732582838169,0,30.59862289862249,104.07358492815342,12
3,30.588528919608528,103.96732582838169,1,30.69672440764477,104.09092563610503,609
3,30.588528919608528,103.96732582838169,2,30.65922788525725,104.00638077512882,23
3,30.588528919608528,103.96732582838169,3,30.660605693305357,104.0649469583959,1306
3,30.588528919608528,103.96732582838169,4,30.704196981485385,104.04116047586425,368
3,30.588528919608528,103.96732582838169,5,30.652547765405096,104.1546348506086,42
3,30.588528919608528,103.96732582838169,6,30.754426746223565,103.942287586858,9
3,30.588528919608528,103.96732582838169,7,30.77402473382942,104.09530231668575,101
3,30.588528919608528,103.96732582838169,8,30.578385025598948,103.96211019428947,7
3,30.588528919608528,103.96732582838169,9,30.659247217484204,104.10418117166753,383
4,30.762950049816116,104.15171030926112,0,30.59862289862249,104.07358492815342,101
4,30.762950049816116,104.15171030926112,1,30.69672440764477,104.09092563610503,1146
4,30.762950049816116,104.15171030926112,2,30.65922788525725,104.00638077512882,160
4,30.762950049816116,104.15171030926112,3,30.660605693305357,104.0649469583959,551
4,30.762950049816116,104.15171030926112,4,30.704196981485385,104.04116047586425,449
4,30.762950049816116,104.15171030926112,5,30.652547765405096,104.1546348506086,76
4,30.762950049816116,104.15171030926112,6,30.754426746223565,103.942287586858,30
4,30.762950049816116,104.15171030926112,7,30.77402473382942,104.09530231668575,24
4,30.762950049816116,104.15171030926112,8,30.578385025598948,103.96211019428947,31
4,30.762950049816116,104.15171030926112,9,30.659247217484204,104.10418117166753,417
5,30.598904951370823,104.066811086652,0,30.59862289862249,104.07358492815342,48
5,30.598904951370823,104.066811086652,1,30.69672440764477,104.09092563610503,1418
5,30.598904951370823,104.066811086652,2,30.65922788525725,104.00638077512882,122
5,30.598904951370823,104.066811086652,3,30.660605693305357,104.0649469583959,4867
5,30.598904951370823,104.066811086652,4,30.704196981485385,104.04116047586425,925
5,30.598904951370823,104.066811086652,5,30.652547765405096,104.1546348506086,220
5,30.598904951370823,104.066811086652,6,30.754426746223565,103.942287586858,31
5,30.598904951370823,104.066811086652,7,30.77402473382942,104.09530231668575,178
5,30.598904951370823,104.066811086652,8,30.578385025598948,103.96211019428947,4
5,30.598904951370823,104.066811086652,9,30.659247217484204,104.10418117166753,2158
6,30.76808610264163,104.05265748042648,0,30.59862289862249,104.07358492815342,185
6,30.76808610264163,104.05265748042648,1,30.69672440764477,104.09092563610503,1986
6,30.76808610264163,104.05265748042648,2,30.65922788525725,104.00638077512882,537
